seller_id,archetype,join_month,pivot_month
93787df1afa5438ba1a692b6f36d9610,deteriorating,2017-01,2017-06
5d8ae6dd53024346986489346161596e,healthy,2017-01,
9b43c7d7c0224bb082c44342aa497e88,chronic_risk,2017-01,
4ffccfc2bfe04990a634044a3485b8ba,healthy,2017-01,
42af58331ff94377b859bca3d3627306,healthy,2017-01,
d00425790d024a1f987acc59f5752b0b,chronic_risk,2017-01,
3a2f0e9f3d554f27b8db2b3ffdd40290,healthy,2017-01,
4b2624cf292d4671b755e9521cadde30,healthy,2017-01,
87ef09c184cb406ca3ef4f8fa11853d7,healthy,2017-02,
d765b2b67f4d4a5dbdce60c1bd4a6468,healthy,2017-01,
77811618f56544cb94dc16fe9c3818a6,healthy,2017-03,
3aa7483ab2bc43dcbf1603e8b15a18fb,chronic_risk,2017-01,
88dcc7a133974f09859716d8040ab0d9,healthy,2017-01,
0dd6897fdf67412d931d3ce7d15398b1,healthy,2017-01,
a01a2dc432584c7791e36443559fef2c,healthy,2017-10,
e0190563db7a47c89b531cadee7b77da,healthy,2017-01,
0fa7853d878d4a3aaf4e4192e2dd7e44,chronic_risk,2017-05,
ced78c1931794664a9bf848dc275790c,healthy,2017-01,
a6bfaf50503b4dc8b2b0a4cea0533c5b,healthy,2017-04,
0d04d8a34ed34adfab212e63ab217f70,healthy,2017-06,
c9913c8467954f79abf9d2e53c6f2c15,healthy,2017-01,
764e986e3ceb4395ac354f09edf3363a,deteriorating,2017-01,2017-12
a918a95c3faf45e59475e3053455d1ec,volatile_small,2017-01,
2d91fdadead64cea8da3d3df87db64ff,healthy,2017-01,
7fb260333de647c7b9c18e3ef387ca1e,volatile_small,2017-01,
078ad64b3a31472ea97e3f40aa27e992,healthy,2017-01,
8f6a39e2f02247989946e686e191d291,healthy,2017-01,
583f02bafa604b4c93b42b4f1824832d,healthy,2017-03,
e520ae044a59417489b74e8656e1a511,healthy,2017-01,
41da3b10f7af4ccf92ed70a91173e19a,deteriorating,2017-01,2018-02
02e53fbcc8d94764b0c947f7a1db1737,chronic_risk,2017-01,
1c7f0384cd634c6da3ccfc9a491aa3ed,healthy,2017-01,
4d0faa2e83ad4e40832627c86805b8fb,healthy,2017-05,
ff8994a9412c4fd88f65d700653d8841,healthy,2017-01,
606d76e9c4f2403f9c4a5c9b40421918,healthy,2017-01,
5962bd30fd954fbf949a391bdcf54e3f,healthy,2017-01,
dd2a2001e55a4d0e8f00b25c5bd674fc,healthy,2017-01,
2033703695ea463ea5bfc7affa3025fb,healthy,2017-03,
4124ae529eea4ccc8c0205e6b6b9a9c2,volatile_small,2017-01,
d3366dd5ff13445a878c1e48435e5416,healthy,2017-05,
ca54ec2f92eb4fe09178c798ac795639,deteriorating,2017-01,2018-01
a609101044ef41a380555a1ee1f1bb1b,chronic_risk,2017-01,
