seller_id,month_key,month_date,total_orders,delivered_orders,late_orders,late_shipment_rate,cancelled_orders,cancellation_rate,avg_review_score,review_count,revenue,revenue_share_of_marketplace,risk_late_component,risk_cancel_component,risk_review_component,risk_volume_component,risk_score,risk_score_zscore,anomaly_flag,is_watchlist
00413ad6e17e4c36be840a0261141fcb,2017-01,2017-01-01,4,4,1,0.25,0,0.0,2.75,4,1214.77,0.0056,8.75,0.0,16.88,0.0,25.63,,0,0
00413ad6e17e4c36be840a0261141fcb,2017-02,2017-02-01,4,3,1,0.3333,1,0.25,2.75,4,1024.92,0.0052,11.67,7.5,16.88,0.0,36.05,,0,0
00413ad6e17e4c36be840a0261141fcb,2017-03,2017-03-01,5,4,0,0.0,1,0.2,2.8,5,1075.29,0.0048,0.0,10.0,13.75,0.0,23.75,-0.644,0,0
00413ad6e17e4c36be840a0261141fcb,2017-04,2017-04-01,2,2,0,0.0,0,0.0,2.5,2,753.62,0.0033,0.0,0.0,17.86,6.46,24.32,-0.378,0,0
00413ad6e17e4c36be840a0261141fcb,2017-05,2017-05-01,1,1,0,0.0,0,0.0,3.0,1,382.27,0.0015,0.0,0.0,12.5,8.42,20.92,-0.647,0,0
00413ad6e17e4c36be840a0261141fcb,2017-06,2017-06-01,3,2,0,0.0,1,0.3333,2.667,3,482.86,0.0019,0.0,16.66,17.5,0.0,34.16,1.014,0,0
00413ad6e17e4c36be840a0261141fcb,2017-07,2017-07-01,7,6,2,0.3333,1,0.1429,2.5,6,1794.95,0.0071,11.67,4.29,20.0,0.0,35.96,0.862,0,0
00413ad6e17e4c36be840a0261141fcb,2017-08,2017-08-01,7,7,3,0.4286,0,0.0,2.714,7,1836.98,0.0061,15.0,0.0,18.05,0.0,33.05,0.246,0,0
00413ad6e17e4c36be840a0261141fcb,2017-09,2017-09-01,4,3,0,0.0,1,0.25,2.75,4,918.02,0.0032,0.0,7.5,14.06,3.46,25.02,-0.851,0,0
00413ad6e17e4c36be840a0261141fcb,2017-10,2017-10-01,5,4,1,0.25,1,0.2,3.25,4,1208.31,0.0039,8.75,6.0,10.94,1.96,27.65,-0.335,0,0
00413ad6e17e4c36be840a0261141fcb,2017-11,2017-11-01,7,7,0,0.0,0,0.0,3.143,7,1797.52,0.0054,0.0,0.0,11.61,0.0,11.61,-1.541,0,0
00413ad6e17e4c36be840a0261141fcb,2017-12,2017-12-01,4,4,0,0.0,0,0.0,2.75,4,734.08,0.0022,0.0,0.0,16.07,2.92,18.99,-0.221,0,0
00413ad6e17e4c36be840a0261141fcb,2018-01,2018-01-01,4,4,3,0.75,0,0.0,2.0,4,1408.67,0.0039,26.25,0.0,22.5,2.81,51.56,2.92,1,0
00413ad6e17e4c36be840a0261141fcb,2018-02,2018-02-01,11,10,2,0.2,1,0.0909,2.8,10,2737.44,0.0076,7.0,3.64,13.75,0.0,24.39,-0.272,0,0
00413ad6e17e4c36be840a0261141fcb,2018-03,2018-03-01,3,2,0,0.0,1,0.3333,4.0,2,789.55,0.0022,0.0,14.0,8.33,6.25,28.58,-0.279,0,0
00413ad6e17e4c36be840a0261141fcb,2018-04,2018-04-01,8,7,1,0.1429,1,0.125,2.875,8,2478.58,0.0064,5.0,7.5,13.28,0.0,25.78,-0.823,0,0
00413ad6e17e4c36be840a0261141fcb,2018-05,2018-05-01,5,5,4,0.8,0,0.0,2.2,5,767.35,0.002,35.0,0.0,21.21,3.74,59.95,3.061,1,0
00413ad6e17e4c36be840a0261141fcb,2018-06,2018-06-01,5,5,3,0.6,0,0.0,2.8,5,1600.99,0.0039,28.0,0.0,16.5,0.71,45.21,0.645,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-01,2017-01-01,4,4,3,0.75,0,0.0,2.25,4,712.91,0.0033,26.25,0.0,20.63,0.0,46.88,,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-02,2017-02-01,4,3,1,0.3333,1,0.25,2.333,3,1036.49,0.0052,11.67,7.5,20.0,0.0,39.17,,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-03,2017-03-01,3,2,0,0.0,1,0.3333,2.0,2,611.2,0.0028,0.0,16.66,18.75,2.95,38.36,-0.424,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-04,2017-04-01,4,3,1,0.3333,1,0.25,3.0,4,1286.97,0.0057,11.67,7.5,14.29,0.0,33.46,-0.728,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-05,2017-05-01,1,1,0,0.0,0,0.0,1.0,1,107.75,0.0004,0.0,0.0,25.0,8.42,33.42,-0.325,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-06,2017-06-01,3,3,0,0.0,0,0.0,3.333,3,721.25,0.0028,0.0,0.0,12.5,0.0,12.5,-2.051,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-07,2017-07-01,3,3,1,0.3333,0,0.0,2.333,3,430.94,0.0017,11.67,0.0,21.34,0.0,33.01,0.595,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-08,2017-08-01,3,3,2,0.6667,0,0.0,2.0,3,384.57,0.0013,23.33,0.0,23.68,0.0,47.01,1.88,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-09,2017-09-01,3,3,0,0.0,0,0.0,2.667,3,606.15,0.0021,0.0,0.0,14.58,0.0,14.58,-1.477,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-10,2017-10-01,2,2,0,0.0,0,0.0,3.5,2,364.09,0.0012,0.0,0.0,9.38,3.92,13.3,-1.656,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-11,2017-11-01,4,4,2,0.5,0,0.0,1.75,4,1459.0,0.0044,17.5,0.0,20.31,0.0,37.81,1.167,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2017-12,2017-12-01,9,7,4,0.5714,2,0.2222,2.625,8,1790.08,0.0053,20.0,6.67,16.96,0.0,43.63,1.974,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2018-01,2018-01-01,4,4,1,0.25,0,0.0,3.25,4,496.03,0.0014,8.75,0.0,13.13,2.25,24.13,-0.677,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2018-02,2018-02-01,10,8,1,0.125,2,0.2,3.0,9,2991.9,0.0083,4.38,8.0,12.5,0.0,24.88,-0.936,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2018-03,2018-03-01,4,4,2,0.5,0,0.0,3.5,4,647.8,0.0018,23.33,0.0,12.5,5.68,41.51,0.966,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2018-04,2018-04-01,9,9,1,0.1111,0,0.0,2.778,9,2159.33,0.0056,3.89,0.0,13.89,0.0,17.78,-1.126,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2018-05,2018-05-01,4,4,0,0.0,0,0.0,3.5,4,1023.71,0.0027,0.0,0.0,11.36,5.63,16.99,-1.005,0,0
01e271149c0a4cb7a1ab09f9768e0bee,2018-06,2018-06-01,6,6,0,0.0,0,0.0,3.167,6,1852.79,0.0045,0.0,0.0,13.75,0.0,13.75,-1.061,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-01,2017-01-01,7,7,2,0.2857,0,0.0,3.143,7,2193.39,0.0102,10.0,0.0,13.93,0.0,23.93,,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-02,2017-02-01,4,4,1,0.25,0,0.0,3.5,4,796.19,0.004,8.75,0.0,11.25,4.82,24.82,,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-03,2017-03-01,5,4,1,0.25,1,0.2,3.0,5,1021.01,0.0046,8.75,10.0,12.5,1.07,32.32,0.722,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-04,2017-04-01,1,0,0,,1,1.0,,0,158.82,0.0007,,30.0,6.12,9.75,,,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-05,2017-05-01,5,3,2,0.6667,2,0.4,1.667,3,931.07,0.0037,23.33,24.0,20.83,0.0,68.16,3.596,1,0
02e53fbcc8d94764b0c947f7a1db1737,2017-06,2017-06-01,7,7,1,0.1429,0,0.0,3.143,7,2055.83,0.0079,5.0,0.0,13.93,0.0,18.93,-2.844,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-07,2017-07-01,9,6,2,0.3333,3,0.3333,3.5,6,2267.67,0.009,11.67,10.0,12.0,0.0,33.67,-0.897,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-08,2017-08-01,6,6,3,0.5,0,0.0,2.333,6,1711.8,0.0057,17.5,0.0,21.05,1.76,40.31,0.005,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-09,2017-09-01,6,6,0,0.0,0,0.0,2.667,6,1403.81,0.0049,0.0,0.0,14.58,2.14,16.72,-1.294,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-10,2017-10-01,8,7,1,0.1429,1,0.125,2.857,7,1719.15,0.0055,5.0,3.75,13.39,0.0,22.14,-0.735,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-11,2017-11-01,2,2,1,0.5,0,0.0,3.0,2,451.69,0.0014,17.5,0.0,12.5,7.95,37.95,1.05,0,0
02e53fbcc8d94764b0c947f7a1db1737,2017-12,2017-12-01,2,2,2,1.0,0,0.0,3.5,2,181.89,0.0005,35.0,0.0,10.71,7.29,53.0,2.488,1,0
02e53fbcc8d94764b0c947f7a1db1737,2018-01,2018-01-01,6,5,1,0.2,1,0.1667,3.6,5,1724.52,0.0047,7.0,5.0,10.5,0.0,22.5,-1.38,0,0
02e53fbcc8d94764b0c947f7a1db1737,2018-02,2018-02-01,8,8,1,0.125,0,0.0,2.625,8,1752.73,0.0049,4.38,0.0,14.84,0.0,19.22,-1.689,0,0
02e53fbcc8d94764b0c947f7a1db1737,2018-03,2018-03-01,11,10,1,0.1,1,0.0909,3.3,10,2565.84,0.007,4.67,3.82,14.17,0.0,22.66,-0.81,0,0
02e53fbcc8d94764b0c947f7a1db1737,2018-04,2018-04-01,4,4,0,0.0,0,0.0,2.75,4,1332.64,0.0035,0.0,0.0,14.06,6.02,20.08,-0.125,0,0
02e53fbcc8d94764b0c947f7a1db1737,2018-05,2018-05-01,5,4,3,0.75,1,0.2,3.25,4,995.36,0.0027,32.81,12.0,13.26,4.09,62.16,3.77,1,0
02e53fbcc8d94764b0c947f7a1db1737,2018-06,2018-06-01,8,8,2,0.25,0,0.0,2.75,8,2035.4,0.005,11.67,0.0,16.88,0.0,28.55,-0.583,0,0
03d060be69b648649c28a3ec106f3b69,2017-01,2017-01-01,3,3,0,0.0,0,0.0,4.333,3,905.38,0.0042,0.0,0.0,5.0,0.0,5.0,,0,0
03d060be69b648649c28a3ec106f3b69,2017-02,2017-02-01,6,6,0,0.0,0,0.0,4.0,6,1367.02,0.0069,0.0,0.0,7.5,0.0,7.5,,0,0
03d060be69b648649c28a3ec106f3b69,2017-03,2017-03-01,4,4,0,0.0,0,0.0,4.75,4,598.06,0.0027,0.0,0.0,1.56,1.31,2.87,-0.307,0,0
03d060be69b648649c28a3ec106f3b69,2017-04,2017-04-01,12,12,1,0.0833,0,0.0,4.083,12,3655.51,0.0161,2.92,0.0,6.55,0.0,9.47,0.395,0,0
03d060be69b648649c28a3ec106f3b69,2017-05,2017-05-01,1,1,0,0.0,0,0.0,5.0,1,93.89,0.0004,0.0,0.0,0.0,10.0,10.0,0.308,0,0
03d060be69b648649c28a3ec106f3b69,2017-06,2017-06-01,6,6,0,0.0,0,0.0,4.167,6,1302.66,0.005,0.0,0.0,6.25,0.0,6.25,-0.109,0,0
03d060be69b648649c28a3ec106f3b69,2017-07,2017-07-01,1,1,0,0.0,0,0.0,5.0,1,373.42,0.0015,0.0,0.0,0.0,9.43,9.43,0.078,0,0
03d060be69b648649c28a3ec106f3b69,2017-08,2017-08-01,9,9,0,0.0,0,0.0,4.444,9,2306.04,0.0077,0.0,0.0,4.39,0.0,4.39,-0.379,0,0
03d060be69b648649c28a3ec106f3b69,2017-09,2017-09-01,10,10,1,0.1,0,0.0,4.1,10,2614.57,0.0091,3.5,0.0,5.63,0.0,9.13,0.222,0,0
03d060be69b648649c28a3ec106f3b69,2017-10,2017-10-01,8,8,0,0.0,0,0.0,4.625,8,2190.13,0.007,0.0,0.0,2.34,0.0,2.34,-0.482,0,0
03d060be69b648649c28a3ec106f3b69,2017-11,2017-11-01,7,7,0,0.0,0,0.0,3.714,7,2025.81,0.0061,0.0,0.0,8.04,2.53,10.57,0.48,0,0
03d060be69b648649c28a3ec106f3b69,2017-12,2017-12-01,5,5,1,0.2,0,0.0,3.8,5,1312.86,0.0039,7.0,0.0,8.57,4.67,20.24,1.171,0,0
03d060be69b648649c28a3ec106f3b69,2018-01,2018-01-01,6,6,2,0.3333,0,0.0,3.5,6,778.17,0.0021,11.67,0.0,11.25,1.13,24.05,1.181,0,0
03d060be69b648649c28a3ec106f3b69,2018-02,2018-02-01,13,12,0,0.0,1,0.0769,4.154,13,2717.2,0.0076,0.0,3.08,5.29,0.0,8.37,-0.901,0,0
03d060be69b648649c28a3ec106f3b69,2018-03,2018-03-01,4,4,1,0.25,0,0.0,3.5,4,1397.02,0.0038,11.67,0.0,12.5,5.94,30.11,1.141,0,0
03d060be69b648649c28a3ec106f3b69,2018-04,2018-04-01,10,10,1,0.1,0,0.0,3.9,10,2992.31,0.0078,3.5,0.0,6.88,0.0,10.38,-0.95,0,0
03d060be69b648649c28a3ec106f3b69,2018-05,2018-05-01,6,6,0,0.0,0,0.0,4.667,6,1379.84,0.0037,0.0,0.0,2.52,3.92,6.44,-0.894,0,0
03d060be69b648649c28a3ec106f3b69,2018-06,2018-06-01,12,12,2,0.1667,0,0.0,4.583,12,2928.42,0.0071,7.78,0.0,3.13,0.0,10.91,-0.43,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-01,2017-01-01,5,5,2,0.4,0,0.0,3.6,5,1483.85,0.0069,14.0,0.0,10.5,0.0,24.5,,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-02,2017-02-01,5,5,2,0.4,0,0.0,4.2,5,1193.08,0.006,14.0,0.0,6.0,0.0,20.0,,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-03,2017-03-01,8,8,0,0.0,0,0.0,3.875,8,2109.8,0.0095,0.0,0.0,7.03,0.0,7.03,-1.382,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-04,2017-04-01,8,8,1,0.125,0,0.0,4.875,8,1864.9,0.0082,4.38,0.0,0.89,0.0,5.27,-1.081,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-05,2017-05-01,6,6,0,0.0,0,0.0,4.167,6,1637.99,0.0065,0.0,0.0,5.21,1.65,6.86,-0.355,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-06,2017-06-01,6,6,1,0.1667,0,0.0,4.5,6,1582.72,0.0061,5.83,0.0,3.75,2.05,11.63,0.476,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-07,2017-07-01,2,2,0,0.0,0,0.0,4.5,2,548.38,0.0022,0.0,0.0,4.0,7.84,11.84,0.356,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-08,2017-08-01,5,5,1,0.2,0,0.0,3.6,5,901.01,0.003,7.0,0.0,11.05,0.0,18.05,0.721,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-09,2017-09-01,4,4,0,0.0,0,0.0,4.25,4,597.02,0.0021,0.0,0.0,4.69,0.9,5.59,-0.749,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-10,2017-10-01,5,5,0,0.0,0,0.0,4.2,5,1330.55,0.0042,0.0,0.0,5.0,0.0,5.0,-0.62,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-11,2017-11-01,10,10,1,0.1,0,0.0,3.9,10,1942.81,0.0059,3.5,0.0,6.88,0.0,10.38,0.076,0,0
04c793ea2cfe45f3922a32871dcd18d5,2017-12,2017-12-01,9,9,1,0.1111,0,0.0,3.667,9,1830.69,0.0055,3.89,0.0,9.52,0.0,13.41,0.583,0,0
04c793ea2cfe45f3922a32871dcd18d5,2018-01,2018-01-01,9,9,1,0.1111,0,0.0,4.333,9,2955.6,0.0081,3.89,0.0,5.0,0.0,8.89,-0.064,0,0
04c793ea2cfe45f3922a32871dcd18d5,2018-02,2018-02-01,10,10,0,0.0,0,0.0,4.5,10,2188.07,0.0061,0.0,0.0,3.12,0.0,3.12,-0.706,0,0
04c793ea2cfe45f3922a32871dcd18d5,2018-03,2018-03-01,8,8,0,0.0,0,0.0,4.375,8,1750.12,0.0048,0.0,0.0,5.21,1.7,6.91,-0.142,0,0
04c793ea2cfe45f3922a32871dcd18d5,2018-04,2018-04-01,12,12,1,0.0833,0,0.0,4.583,12,2086.94,0.0054,2.92,0.0,2.61,0.0,5.53,-0.071,0,0
04c793ea2cfe45f3922a32871dcd18d5,2018-05,2018-05-01,2,2,0,0.0,0,0.0,4.0,2,191.26,0.0005,0.0,0.0,7.58,9.41,16.99,1.072,0,0
04c793ea2cfe45f3922a32871dcd18d5,2018-06,2018-06-01,5,5,0,0.0,0,0.0,3.8,5,1395.96,0.0034,0.0,0.0,9.0,3.64,12.64,0.257,0,0
